Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
78.19,30,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,2016-01-31 06:14:10,0
65.07,34,73941.91,227.53,Monitored explicit hierarchy,Princebury,1,Anguilla,2016-03-11 00:05:48,0
77.07,40,44559.43,261.02,Face-to-face analyzing encryption,Stephenborough,0,Afghanistan,2016-03-01 10:01:35,0
68.68,34,77220.42,187.03,Sharable encompassing database,Lake Jenniferton,1,Equatorial Guinea,2016-07-15 09:42:19,0
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,2016-04-20 21:49:22,0
65.53,19,51049.47,190.17,Pre-emptive client-server installation,Coffeytown,1,Timor-Leste,2016-06-20 02:25:12,0
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,Mcdonaldfort,1,Kyrgyz Republic,2016-05-29 21:17:10,0
86.06,31,53767.12,219.72,Extended local methodology,Timothytown,1,Timor-Leste,2016-04-28 18:34:56,0
69.01,46,74543.81,222.63,Advanced full-range migration,New Michaeltown,0,Turks and Caicos Islands,2016-07-07 13:37:34,0
81.75,24,52656.13,190.08,Open-architected web-enabled benchmark,Kevinchester,1,Cape Verde,2016-04-29 18:53:43,0
75.32,28,59998.5,233.6,Reduced mobile structure,Lake Angela,1,Mauritius,2016-01-01 21:58:55,0
65.56,25,69646.35,181.25,Stand-alone explicit orchestration,West Arielstad,1,Somalia,2016-01-05 12:59:07,0
66.89,23,64433.99,208.24,Universal incremental array,Sandersland,1,Honduras,2016-01-04 07:28:43,0
80.94,36,60803.0,239.94,Self-enabling local strategy,North Tiffany,0,Bermuda,2016-01-01 05:31:22,0
78.83,36,66050.63,234.64,Future-proofed responsive matrix,New Wanda,1,Qatar,2016-05-08 12:08:26,0
68.11,38,73884.48,231.21,Reactive national success,South Meredithmouth,0,Seychelles,2016-01-07 21:21:50,0
85.78,34,50038.65,232.78,Persistent fault-tolerant service-desk,Valerieland,0,Swaziland,2016-07-20 21:53:42,0
84.79,33,61771.9,214.53,Managed eco-centric encoding,New Juan,0,Cameroon,2016-03-30 19:09:50,0
76.87,36,72948.76,212.59,Down-sized bandwidth-monitored core,Mullenside,0,South Georgia and the South Sandwich Islands,2016-07-08 22:30:10,0
82.7,35,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,0,Somalia,2016-01-09 15:49:28,0
72.19,32,61067.58,250.32,Balanced discrete approach,Randolphport,1,Switzerland,2016-04-22 19:45:19,0
59.52,44,67511.86,251.08,Managed 5thgeneration time-frame,Amandaland,1,Bolivia,2016-05-27 18:45:35,0
84.04,38,50723.67,244.55,Self-enabling didactic pricing structure,West Alyssa,0,Malaysia,2016-07-20 09:27:24,0
87.35,35,58114.3,158.29,Cloned dedicated analyzer,Carsonshire,1,Gibraltar,2016-01-26 02:47:17,0
66.4,40,77567.85,214.42,Digitized heuristic solution,Port Destiny,0,Antigua and Barbuda,2016-06-05 00:29:13,0
80.39,31,66269.49,214.74,Fully-configurable incremental Graphical User Interface,Paulport,0,Gabon,2016-05-03 08:21:23,0
75.15,33,71296.67,219.49,Synchronized zero tolerance product,Smithtown,1,France,2016-06-19 18:19:38,0
90.75,40,45945.88,216.5,Decentralized methodical capability,Lake Joseph,0,Togo,2016-03-11 09:58:32,0
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,2016-02-13 15:37:36,0
75.64,29,69718.19,204.82,Pre-emptive well-modulated moderator,West Rhondamouth,1,Iran,2016-03-15 19:35:19,0
74.65,28,67669.06,212.56,Robust transitional ability,East Timothy,0,French Southern Territories,2016-03-17 05:00:12,0
72.45,29,72325.91,195.36,Centralized 24hour synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,2016-01-11 06:02:27,0
71.05,20,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,1,Eritrea,2016-06-13 22:41:45,0
80.29,31,49457.48,244.87,Ameliorated contextually-based collaboration,Teresahaven,1,Netherlands Antilles,2016-06-30 00:40:31,0
83.53,36,67686.16,204.56,Customizable methodical Graphical User Interface,New Dawnland,0,Honduras,2016-07-06 05:34:52,0
78.6,46,41768.13,254.59,Enhanced systematic adapter,Lake Elizabethside,1,Micronesia,2016-07-20 13:21:37,0
74.27,37,65180.97,247.05,Monitored executive architecture,Andrewmouth,1,Burkina Faso,2016-01-31 09:57:34,0
70.9,28,71727.51,190.95,Centralized client-driven workforce,Port Juan,0,Kyrgyz Republic,2016-06-17 23:19:38,0
72.94,31,74159.69,190.84,Multi-tiered real-time implementation,Rogerland,0,Venezuela,2016-04-29 13:38:19,0
79.67,28,58576.12,226.79,Total grid-enabled application,Charlesbury,0,Comoros,2016-07-20 01:56:33,0
79.15,26,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,0,Greenland,2016-01-20 19:09:37,0
82.07,24,50337.93,193.97,Monitored local Internet solution,Richardsonmouth,0,Sri Lanka,2016-06-14 07:02:09,0
78.18,23,52691.79,167.67,Customer-focused full-range neural-net,West Barbara,0,Bolivia,2016-06-09 19:32:27,0
81.98,34,67432.49,212.88,Up-sized maximized model,Patrickmouth,0,Saint Martin,2016-06-04 09:25:27,0
85.23,36,64238.71,212.92,Visionary client-driven installation,Paulhaven,1,Senegal,2016-02-27 12:34:19,0
73.1,28,57014.84,242.37,Universal asymmetric archive,Jeffreyshire,0,Israel,2016-01-25 07:52:53,0
82.3,31,56735.83,232.21,Balanced executive definition,Davieshaven,0,Gabon,2016-04-16 08:36:08,0
79.97,26,61747.98,185.45,Down-sized explicit budgetary management,Port Maria,1,Nepal,2016-01-08 19:38:45,0
82.41,36,65882.81,222.08,Stand-alone logistical service-desk,North Brandon,0,Nicaragua,2016-04-12 04:22:42,0
67.47,24,60514.05,225.05,Multi-tiered heuristic strategy,Watsonfort,1,Vanuatu,2016-03-20 07:12:52,0
64.51,42,79484.8,190.71,Virtual 5thgeneration neural-net,Edwardmouth,1,Madagascar,2016-04-29 07:49:01,0
87.16,33,60805.93,197.15,Reduced holistic help-desk,Blairville,0,China,2016-02-11 11:50:26,0
72.8,35,63551.67,249.54,Public-key solution-oriented focus group,Austinland,0,Puerto Rico,2016-01-03 23:21:26,0
85.54,27,48761.14,175.43,Right-sized solution-oriented benchmark,Gilbertville,1,Tokelau,2016-03-31 13:54:51,0
81.37,33,66412.04,215.04,Enhanced regional conglomeration,New Jessicaport,0,Vietnam,2016-01-15 01:20:05,0
73.27,32,67113.46,234.75,Streamlined analyzing initiative,Haleview,1,Martinique,2016-01-29 20:16:54,0
87.09,36,57737.51,221.98,Synergized coherent interface,Luischester,1,Reunion,2016-04-21 16:10:50,0
69.5,26,68348.99,203.84,Front-line systemic capability,Tranland,0,Pakistan,2016-02-27 13:51:44,0
78.58,33,51772.58,250.11,Centralized user-facing service-desk,Chapmanland,1,Vanuatu,2016-04-16 10:36:49,0
65.07,24,57545.56,233.85,Multi-lateral multi-state encryption,Port Raymondfort,0,Mali,2016-01-03 07:13:53,0
69.95,28,56725.47,247.01,Horizontal even-keeled challenge,New Julie,0,Malta,2016-04-28 01:24:34,0
68.47,28,67033.34,226.64,Focused coherent success,North Kennethside,0,Poland,2016-06-25 00:33:23,0
74.88,27,67240.25,175.17,Organized empowering policy,Sarahton,1,Sudan,2016-04-17 06:58:18,0
67.76,31,66176.97,242.59,Programmable high-level benchmark,Anthonyfurt,0,Cameroon,2016-05-24 17:42:58,0
79.36,34,57260.41,245.78,Profound maximized workforce,Hessstad,1,Bosnia and Herzegovina,2016-04-28 22:54:37,0
82.87,37,67938.77,213.36,Front-line fresh-thinking open system,West Brenda,0,Tonga,2016-06-28 20:13:41,0
68.1,40,74903.41,227.73,Reactive composite project,Thomasstad,1,Honduras,2016-02-05 16:50:58,0
81.51,41,53412.32,250.03,Future-proofed modular utilization,Kingshire,0,Guinea,2016-05-19 09:30:12,0
79.82,26,51512.66,223.28,Function-based directional productivity,Jayville,1,Micronesia,2016-07-17 22:04:54,0
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,1,Algeria,2016-06-06 21:26:51,0
80.91,32,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,0,Cuba,2016-01-31 04:10:20,0
76.83,28,67990.84,192.81,Quality-focused 5thgeneration orchestration,Wintersfort,0,Ecuador,2016-03-04 14:33:38,0
79.4,35,63966.72,236.87,User-centric intangible contingency,New Gabriel,0,Malaysia,2016-04-01 09:21:14,0
80.46,29,56909.3,230.78,Mandatory coherent groupware,Carterton,0,India,2016-06-04 09:13:29,0
71.14,30,69758.31,224.82,Assimilated stable encryption,Newmanberg,0,France,2016-06-21 00:52:47,0
76.28,33,52686.47,254.34,Right-sized asynchronous website,Port Aliciabury,0,Guadeloupe,2016-02-15 07:55:10,0
75.42,26,63373.7,164.25,Optional regional throughput,Millertown,1,Western Sahara,2016-02-26 17:14:14,0
76.2,24,47258.59,228.81,Optimized coherent Internet solution,Lake Susan,1,Japan,2016-03-02 06:35:08,0
89.15,42,59886.58,171.07,Phased zero administration success,Townsendfurt,0,Fiji,2016-04-25 07:30:21,0
85.01,29,59797.64,192.5,Devolved exuding Local Area Network,Evansfurt,0,Slovakia (Slovak Republic),2016-05-03 16:02:50,0
81.29,28,33239.2,219.72,Synergized well-modulated Graphical User Interface,Lake Michael,0,Mongolia,2016-02-15 20:41:05,0
81.67,28,62927.96,196.76,Visionary analyzing structure,North Christopher,1,Mauritania,2016-03-04 08:48:29,0
79.18,31,58443.99,236.96,Open-source holistic productivity,Lake Danielle,0,Algeria,2016-01-10 20:18:21,0
77.51,36,73600.28,200.55,Total 5thgeneration encoding,North Kristine,0,Central African Republic,2016-07-01 04:41:57,0
78.84,32,62430.55,235.29,Optimized 5thgeneration moratorium,Gonzalezburgh,1,Taiwan,2016-04-09 09:26:39,0
75.7,29,67633.44,215.44,Profound zero administration instruction set,Port Jeffrey,0,United States Minor Outlying Islands,2016-01-14 00:23:10,0
72.53,37,73474.82,223.93,Synchronized grid-enabled moratorium,South Patrickfort,0,Papua New Guinea,2016-07-21 10:01:50,0
74.41,26,64395.85,163.05,Right-sized value-added initiative,Dianashire,0,Singapore,2016-07-23 04:37:05,0
83.26,40,70225.6,187.76,Decentralized foreground infrastructure,Alanview,1,Tonga,2016-01-02 14:36:03,0
82.07,25,46722.07,205.38,Function-based optimizing extranet,Lauraburgh,1,Panama,2016-06-20 06:30:06,0
83.91,29,53223.58,222.87,Distributed bifurcated challenge,Haleberg,0,Burundi,2016-01-04 22:27:25,0
84.33,41,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,0,Belize,2016-03-16 00:28:10,0
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,2016-01-05 07:52:48,0
86.06,32,61601.05,178.92,Focused upward-trending core,North Leonmouth,1,Bulgaria,2016-03-31 20:55:22,0
73.18,23,61526.25,196.71,Organized static focus group,Hollandberg,1,British Virgin Islands,2016-04-04 07:07:46,0
88.12,38,46653.75,230.91,Realigned next generation projection,Hurleyborough,0,Gibraltar,2016-02-17 07:05:57,0
72.07,31,69710.51,226.45,Grass-roots eco-centric instruction set,Port Jessicamouth,0,Chile,2016-04-16 16:38:35,0
64.38,19,52530.1,180.47,Configurable dynamic secured line,West Alice,1,Gabon,2016-05-27 05:23:26,0
79.61,31,58342.63,235.97,Customizable value-added project,Luisfurt,0,Monaco,2016-04-04 21:23:13,0
56.39,27,38817.4,248.12,Configurable tertiary capability,North Tylerland,1,Bahrain,2016-03-23 21:06:51,0
77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,2016-01-21 23:48:29,0
66.49,20,56884.74,202.16,Polarized 6thgeneration info-mediaries,Bradshawborough,0,Guernsey,2016-06-10 11:31:33,0
78.76,24,46422.76,219.98,Reactive interactive protocol,Joanntown,1,Austria,2016-01-08 08:08:47,0
78.67,26,63319.99,195.56,Proactive 5thgeneration frame,Lake Michaelport,0,Cambodia,2016-02-20 09:54:06,0
89.66,34,52802.58,171.23,Advanced didactic conglomeration,Nicholasport,1,Armenia,2016-02-03 15:15:42,0
79.54,44,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,1,Cambodia,2016-01-05 16:34:31,0
78.11,27,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,1,Moldova,2016-01-30 16:10:04,0
64.2,27,66200.96,227.63,Phased zero tolerance extranet,Edwardsmouth,1,Isle of Man,2016-02-11 23:45:01,0
79.09,32,69481.85,209.72,Optimized multimedia website,Hernandezchester,1,Svalbard & Jan Mayen Islands,2016-05-07 21:32:51,0
87.23,29,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,0,American Samoa,2016-03-26 19:54:16,0
81.95,31,64698.58,208.76,Distributed cohesive migration,East Connie,1,Serbia,2016-05-01 21:46:37,0
77.05,31,62161.26,236.64,Upgradable local migration,Hallfort,0,Jamaica,2016-03-20 22:27:25,0
83.89,28,60188.38,180.88,Ameliorated intermediate Graphical User Interface,Mariemouth,1,Hong Kong,2016-05-28 12:20:15,0
68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,0,Iceland,2016-06-03 03:36:18,0
70.29,26,62053.37,231.37,Vision-oriented multi-tasking success,Shirleyfort,1,Puerto Rico,2016-03-28 19:48:37,0
77.35,34,72330.57,167.26,Total bi-directional success,East Troyhaven,0,Yemen,2016-03-09 12:10:08,0
76.9,28,66107.84,212.67,Synchronized multimedia model,Murphymouth,0,Croatia,2016-04-22 08:31:24,0
73.93,44,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,0,Niue,2016-02-20 00:06:20,0
89.18,37,46403.18,224.01,Public-key impactful neural-net,Rickymouth,1,Nepal,2016-04-26 21:45:50,0
60.7,43,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,1,Palau,2016-06-06 22:41:24,0
83.97,28,56986.73,205.5,Reactive needs-based instruction set,Garychester,1,Haiti,2016-06-16 02:33:22,0
70.04,31,74780.74,183.85,Intuitive radical forecast,Hannahside,1,Jordan,2016-03-27 03:59:26,0
71.28,37,67307.43,246.72,Distributed scalable orchestration,Dustinchester,1,Guyana,2016-04-10 16:08:09,0
81.99,33,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,0,French Polynesia,2016-02-15 14:13:47,0
79.57,31,61227.59,230.93,User-friendly asymmetric info-mediaries,Lisaberg,0,Egypt,2016-05-17 04:27:31,0
79.71,34,69456.83,211.65,Seamless holistic time-frame,Benjaminchester,1,Bangladesh,2016-07-02 14:57:53,0
85.61,27,47708.42,183.43,Customer-focused empowering ability,Lake Amy,0,Burundi,2016-04-30 08:07:13,0
73.57,30,70377.23,212.38,Pre-emptive transitional protocol,North Stephanieberg,0,Uruguay,2016-03-20 08:22:50,0
75.92,22,38427.66,182.65,Monitored context-sensitive initiative,Port Calvintown,0,Russian Federation,2016-02-26 01:18:44,0
80.51,28,64008.55,200.28,Robust dedicated system engine,Christopherville,1,Bangladesh,2016-01-08 02:34:06,0
70.05,33,75560.65,203.44,Diverse directional hardware,North Raymond,0,Croatia,2016-03-24 17:48:31,0
85.4,43,67058.72,198.72,Triple-buffered demand-driven alliance,Johnport,0,Sri Lanka,2016-06-08 18:54:01,0
83.48,31,59340.99,222.72,Intuitive zero administration adapter,Williamport,1,Philippines,2016-03-04 13:47:47,0
66.17,33,69869.66,238.45,Cross-group neutral synergy,West Lucas,0,Panama,2016-01-20 00:26:15,0
79.16,32,69562.46,202.9,Compatible intermediate concept,East Timothy,1,Sri Lanka,2016-03-30 20:23:48,0
62.26,37,77988.71,166.19,Vision-oriented uniform knowledgebase,West Robertside,0,Malawi,2016-05-26 15:40:12,0
80.71,26,58476.57,200.58,Team-oriented context-sensitive installation,East Christopherbury,0,Cameroon,2016-06-24 05:50:22,0
68.72,27,66861.67,225.97,Fundamental tangible moratorium,New Taylorburgh,0,Austria,2016-02-23 17:37:46,0
81.61,33,62667.51,228.76,Enterprise-wide local matrices,Gravesport,0,Morocco,2016-04-17 15:46:03,0
89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,Stewartbury,0,Falkland Islands (Malvinas),2016-04-03 10:07:56,0
75.15,22,52011.0,212.87,Universal global intranet,Jamiefort,1,Austria,2016-05-04 12:06:18,0
68.88,37,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,0,Belgium,2016-02-09 19:37:52,0
83.98,36,68305.91,194.62,Profit-focused secondary portal,West Gregburgh,0,Zimbabwe,2016-02-24 00:44:44,0
69.88,20,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,1,Ghana,2016-07-11 01:42:51,0
76.07,36,68033.54,235.56,Implemented bottom-line implementation,West Michaelshire,0,Denmark,2016-01-23 01:42:28,0
75.94,27,53042.51,236.96,Future-proofed stable function,Campbellstad,1,Italy,2016-02-16 12:05:45,0
67.36,37,73104.47,233.56,Future-proofed grid-enabled implementation,North Wesleychester,0,Jersey,2016-07-06 16:00:33,0
77.31,32,62792.43,238.1,Assimilated homogeneous service-desk,North Garyhaven,0,Nepal,2016-06-17 20:18:27,0
87.29,36,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,1,Korea,2016-03-23 09:43:43,0
90.97,37,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,0,Congo,2016-02-16 18:21:36,0
82.73,33,54541.56,238.99,Grass-roots impactful system engine,Cranemouth,1,Qatar,2016-05-20 21:31:24,0
79.6,28,56570.06,227.37,Synergistic discrete middleware,Whitneyfort,1,Sweden,2016-05-03 16:55:02,0
78.79,32,68324.48,215.29,Stand-alone background open system,Mauriceshire,1,Uruguay,2016-02-21 13:11:08,0
82.69,29,61161.29,167.41,Fully-configurable eco-centric frame,Rachelhaven,1,Georgia,2016-05-24 10:16:38,0
84.69,31,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,1,Maldives,2016-07-07 23:32:38,0
79.53,33,61467.33,236.72,Profound well-modulated array,East Aaron,0,Indonesia,2016-02-28 22:02:14,0
82.8,30,58776.67,223.2,Enhanced systemic benchmark,West Steven,1,Egypt,2016-05-07 08:39:47,0
88.82,36,58638.75,169.1,Assimilated discrete strategy,East Johnport,0,Slovakia (Slovak Republic),2016-01-30 00:05:37,0
74.71,46,37908.29,258.06,Proactive local focus group,Port Eugeneport,1,Czech Republic,2016-06-13 11:06:40,0
67.69,37,76408.19,216.57,Monitored content-based implementation,Lake Jasonchester,0,Finland,2016-07-18 18:33:05,0
81.58,41,55479.62,248.16,Cloned explicit middleware,East Sheriville,0,Moldova,2016-01-27 17:55:44,0
77.14,24,60283.98,184.88,Horizontal heuristic synergy,Janiceview,1,Iceland,2016-01-21 18:51:01,0
81.21,36,63394.41,233.04,User-friendly content-based customer loyalty,South Jaimeview,0,Turkmenistan,2016-01-02 09:30:11,0
69.86,25,50506.44,241.36,Triple-buffered foreground encryption,Austinborough,0,New Zealand,2016-01-12 21:17:15,0
79.81,37,51847.26,253.17,Realigned global initiative,Garnerberg,0,United States Virgin Islands,2016-05-13 14:12:39,0
68.01,25,68357.96,188.32,Ameliorated actuating workforce,Kaylashire,1,Afghanistan,2016-01-01 03:35:35,0
60.75,42,69775.75,247.05,Fully-configurable systemic productivity,Garrettborough,1,Guyana,2016-02-19 13:26:24,0
77.25,27,55901.12,231.38,Pre-emptive neutral contingency,Port Elijah,1,Saint Vincent and the Grenadines,2016-04-25 16:58:50,0
76.27,27,60082.66,226.69,Total coherent superstructure,Laurieside,1,United Arab Emirates,2016-06-18 01:42:37,0
76.49,23,56457.01,181.11,Public-key asynchronous matrix,Sherrishire,0,Brazil,2016-03-25 05:05:27,0
62.26,26,70203.74,202.77,Public-key mission-critical core,New Jasmine,0,Swaziland,2016-06-08 12:25:49,0
67.05,25,65421.39,220.92,Realigned scalable standardization,Richardsontown,0,Finland,2016-02-26 09:54:33,0
70.79,31,74535.94,184.1,Distributed tertiary system engine,Sharpberg,0,Bouvet Island (Bouvetoya),2016-03-15 15:49:14,0
88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,East John,1,Zambia,2016-01-03 17:10:05,0
80.55,35,68016.9,219.91,Extended grid-enabled hierarchy,Port Brittanyville,0,British Virgin Islands,2016-03-28 23:01:24,0
89.0,37,52079.18,222.26,Devolved regional moderator,Jordanmouth,1,Cyprus,2016-01-26 15:56:55,0
75.19,31,33502.57,245.76,Implemented discrete frame,Johnstonshire,1,Tajikistan,2016-06-16 18:04:51,0
84.81,32,43299.63,233.93,Multi-layered stable encoding,Brownbury,1,Greece,2016-07-04 23:17:47,0
77.88,37,55353.41,254.57,Multi-tiered human-resource structure,Melissafurt,0,Poland,2016-07-02 00:24:22,0
72.23,25,46557.92,241.03,Focused 24hour implementation,Marcushaven,1,Bhutan,2016-07-05 17:17:49,0
77.75,31,59047.91,240.64,Multi-lateral motivating circuit,Coxhaven,1,Paraguay,2016-06-22 17:19:09,0
80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,1,Nauru,2016-04-04 01:39:02,0
86.58,32,60151.77,195.93,Business-focused asynchronous budgetary management,Henryfort,1,Mexico,2016-02-26 23:44:44,0
79.83,29,55764.43,234.23,Innovative regional groupware,North Frankstad,1,Sudan,2016-05-18 19:33:51,0
89.91,40,59593.56,194.23,Innovative background conglomeration,Wallacechester,0,Maldives,2016-07-09 14:55:36,0
79.6,39,73392.28,194.23,Organized global flexibility,Lake Deannaborough,0,Rwanda,2016-04-22 07:48:33,0
75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,0,Nauru,2016-01-17 15:10:31,0
84.95,34,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,0,Madagascar,2016-02-26 17:01:01,0
72.08,29,71228.44,169.5,Stand-alone national attitude,Smithburgh,0,Burundi,2016-03-09 14:45:33,0
59.61,21,60637.62,198.45,Future-proofed coherent budgetary management,Port James,1,Cambodia,2016-04-06 05:55:43,0
78.24,23,54106.21,199.29,Sharable value-added solution,Deannaville,0,Luxembourg,2016-04-04 11:39:51,0
81.9,41,66773.83,225.47,Multi-channeled 3rdgeneration model,Garciatown,0,Mauritius,2016-06-11 06:47:55,0
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,Port Mathew,1,Bahamas,2016-06-02 21:02:22,0
76.42,26,60315.19,223.16,Open-source optimizing parallelism,Brendaburgh,1,Netherlands Antilles,2016-04-17 18:38:14,0
80.53,29,66345.1,187.64,Sharable upward-trending support,West Benjamin,0,Singapore,2016-03-21 08:13:24,0
80.49,40,67186.54,229.12,Balanced heuristic approach,Amyhaven,1,Tanzania,2016-02-14 03:50:52,0
77.44,28,65620.25,210.39,Front-line incremental access,Lake Jacob,0,Gabon,2016-06-10 04:21:57,0
89.37,34,42760.22,162.03,Compatible dedicated productivity,Port Stacey,1,Australia,2016-04-16 12:26:31,0
57.11,22,59677.64,207.17,Self-enabling tertiary challenge,Lake Jonathanview,1,Dominican Republic,2016-06-07 23:46:51,0
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,2016-03-18 13:22:35,0
87.85,31,52178.98,210.27,Compatible scalable emulation,New Patriciashire,1,French Polynesia,2016-06-14 19:48:34,0
85.86,34,63115.34,208.23,Networked high-level structure,New Jeffreychester,0,Bouvet Island (Bouvetoya),2016-05-23 02:15:04,0
71.9,29,72203.96,193.29,De-engineered intangible flexibility,Williamsside,1,Costa Rica,2016-04-24 07:20:16,0
77.47,36,70510.59,222.91,Assimilated actuating policy,Hatfieldshire,1,Jamaica,2016-03-14 03:29:12,0
87.26,35,63060.55,184.03,Multi-layered tangible portal,New Paul,0,Bosnia and Herzegovina,2016-05-12 04:35:59,0
78.35,46,53185.34,253.48,Pre-emptive client-server open system,Parkerhaven,0,Brazil,2016-01-11 02:07:14,0
76.58,46,41884.64,258.26,Secured 24hour policy,West Sydney,0,Uzbekistan,2016-01-03 16:30:51,0
71.76,35,69285.69,237.39,Customizable zero-defect matrix,South Tomside,0,Saint Pierre and Miquelon,2016-05-26 13:18:30,0
78.36,24,58920.44,196.77,Multi-tiered foreground Graphic Interface,Kristineberg,1,Kyrgyz Republic,2016-06-24 21:09:58,0
51.65,31,58996.56,249.99,Virtual context-sensitive support,Mclaughlinbury,0,Ireland,2016-05-25 10:39:28,0
73.94,26,55411.06,236.15,Front-line non-volatile implementation,Lukeport,1,Isle of Man,2016-01-24 01:53:14,0
69.42,25,65791.17,213.38,Quality-focused hybrid frame,Carterport,0,Lao People's Democratic Republic,2016-02-13 04:16:08,0
74.02,32,72272.9,210.54,Operative system-worthy protocol,Johnstad,0,Micronesia,2016-03-09 14:57:11,0
77.65,28,66198.66,208.01,Configurable impactful capacity,Pamelamouth,0,Ukraine,2016-02-26 19:35:54,0
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,2016-02-09 22:04:54,0
76.65,31,61117.5,238.43,Function-based executive moderator,West Dennis,0,Pakistan,2016-04-18 07:00:38,0
76.2,37,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,0,Barbados,2016-02-29 19:26:35,0
76.79,27,55677.12,235.94,Open-architected intangible strategy,Wademouth,0,Canada,2016-05-01 23:21:53,0
77.6,24,58151.87,197.33,Open-architected system-worthy task-force,Greghaven,1,Anguilla,2016-05-26 15:40:26,0
89.71,48,51501.38,204.4,Versatile local forecast,Sarafurt,1,Bahrain,2016-02-17 07:00:38,0
79.44,26,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,0,Greece,2016-05-15 13:18:34,0
65.9,22,60550.66,211.39,De-engineered tertiary secured line,Hartport,0,Czech Republic,2016-07-16 14:13:54,0
86.19,31,57669.41,210.26,Pre-emptive executive knowledgebase,Lopezmouth,1,Greece,2016-05-08 12:51:00,0
63.6,23,51864.77,235.28,Centralized logistical secured line,Youngburgh,1,Serbia,2016-06-01 09:27:34,0
89.21,33,44078.24,210.53,Fundamental clear-thinking knowledgebase,Lake Cynthia,0,Reunion,2016-07-19 12:05:58,0
65.65,25,63879.72,224.92,Intuitive explicit firmware,Sandraville,1,Cook Islands,2016-06-03 06:34:44,0
66.17,26,63580.22,228.7,Business-focused maximized complexity,North Anaport,0,Mexico,2016-05-02 00:01:56,0
84.98,29,57691.95,202.61,Innovative user-facing extranet,Mackenziemouth,0,Russian Federation,2016-04-27 09:27:58,0
74.54,24,57518.73,219.75,Switchable secondary ability,Alexisland,0,Bahamas,2016-03-30 16:15:59,0
80.99,26,35521.88,207.53,Centralized clear-thinking Graphic Interface,Melissastad,1,Belarus,2016-06-10 03:56:41,0
76.84,32,65883.39,231.59,Reduced incremental productivity,Faithview,0,Singapore,2016-03-03 22:31:16,0
76.59,29,67526.92,211.64,Reverse-engineered maximized focus group,Calebberg,0,Georgia,2016-06-18 05:17:33,0
67.71,25,63430.33,225.76,Synergized intangible open system,Daviesborough,1,Armenia,2016-04-28 02:55:10,0
81.11,39,56216.57,248.19,Total cohesive moratorium,South Robert,1,Chad,2016-07-13 11:41:29,0
82.37,30,63664.32,207.44,Open-architected system-worthy ability,Estradafurt,0,Tonga,2016-06-29 04:23:10,0
72.76,33,66431.87,240.63,Virtual impactful algorithm,Williamsport,1,India,2016-05-10 04:28:55,0
79.89,30,50356.06,241.38,Synergized uniform hierarchy,Angelhaven,1,United States of America,2016-05-30 08:35:54,0
77.89,26,64188.5,201.54,Switchable multi-state success,West Sharon,0,Singapore,2016-05-15 03:10:50,0
84.53,33,61922.06,215.18,Optional multi-state hardware,Douglasview,1,Norfolk Island,2016-07-11 09:32:53,0
65.22,30,66263.37,240.09,Fully-configurable foreground solution,Michaelland,1,Falkland Islands (Malvinas),2016-05-07 15:16:07,0
